INDEX,AREA,X,Y,COD_MUNICIPIO,MUNICIPIO,MESO,MICRO
1,0.953,-44.522,-14.403,3142700,Montalvânia,Sudeste,Januária
2,0.692,-43.915,-14.785,3140852,Matias Cardoso,Sudeste,Janaúba
3,2.075,-44.972,-14.955,3108255,Bonito de Minas,Sudeste,Januária
4,25.317,-43.816,-15.059,3140852,Matias Cardoso,Sudeste,Janaúba
5,109.898,-43.911,-15.079,3140852,Matias Cardoso,Sudeste,Janaúba
6,49.939,-43.935,-15.082,3135050,Jaíba,Sudeste,Janaúba
7,55.12,-43.934,-15.077,3140852,Matias Cardoso,Sudeste,Janaúba
8,20.342,-43.923,-15.083,3135050,Jaíba,Sudeste,Janaúba
9,91.543,-43.922,-15.078,3140852,Matias Cardoso,Sudeste,Janaúba
10,179.214,-43.952,-15.08,3135050,Jaíba,Sudeste,Janaúba
11,0.149,-43.957,-15.074,3140852,Matias Cardoso,Sudeste,Janaúba
12,13.301,-43.945,-15.076,3140852,Matias Cardoso,Sudeste,Janaúba
13,0.259,-43.957,-15.085,3135050,Jaíba,Sudeste,Janaúba
14,0.605,-43.944,-15.09,3135050,Jaíba,Sudeste,Janaúba
15,0.173,-43.943,-15.091,3135050,Jaíba,Sudeste,Janaúba
16,0.432,-43.957,-15.093,3135050,Jaíba,Sudeste,Janaúba
17,87.949,-43.94,-15.089,3135050,Jaíba,Sudeste,Janaúba
18,124.407,-43.929,-15.09,3135050,Jaíba,Sudeste,Janaúba
19,111.792,-43.917,-15.092,3135050,Jaíba,Sudeste,Janaúba
20,1.209,-43.932,-15.098,3135050,Jaíba,Sudeste,Janaúba
21,0.173,-43.937,-15.104,3135050,Jaíba,Sudeste,Janaúba
22,303.318,-43.945,-15.096,3135050,Jaíba,Sudeste,Janaúba
23,0.95,-43.878,-15.133,3135050,Jaíba,Sudeste,Janaúba
24,0.173,-43.877,-15.134,3135050,Jaíba,Sudeste,Janaúba
25,1.209,-43.906,-15.138,3135050,Jaíba,Sudeste,Janaúba
26,0.691,-43.896,-15.14,3135050,Jaíba,Sudeste,Janaúba
27,0.173,-43.855,-15.142,3135050,Jaíba,Sudeste,Janaúba
28,253.085,-43.897,-15.131,3135050,Jaíba,Sudeste,Janaúba
29,0.605,-43.857,-15.142,3135050,Jaíba,Sudeste,Janaúba
30,58.303,-43.858,-15.138,3135050,Jaíba,Sudeste,Janaúba
31,0.173,-43.885,-15.142,3135050,Jaíba,Sudeste,Janaúba
32,0.173,-43.899,-15.147,3135050,Jaíba,Sudeste,Janaúba
33,0.259,-43.874,-15.148,3135050,Jaíba,Sudeste,Janaúba
34,383.593,-43.863,-15.135,3135050,Jaíba,Sudeste,Janaúba
35,2.591,-43.9,-15.148,3135050,Jaíba,Sudeste,Janaúba
36,0.173,-43.875,-15.149,3135050,Jaíba,Sudeste,Janaúba
37,0.173,-43.875,-15.149,3135050,Jaíba,Sudeste,Janaúba
38,153.051,-43.911,-15.144,3135050,Jaíba,Sudeste,Janaúba
39,59.94,-43.871,-15.151,3135050,Jaíba,Sudeste,Janaúba
40,0.777,-43.895,-15.157,3135050,Jaíba,Sudeste,Janaúba
41,638.121,-43.886,-15.142,3135050,Jaíba,Sudeste,Janaúba
42,7.946,-43.793,-15.158,3135050,Jaíba,Sudeste,Janaúba
43,61.579,-43.877,-15.157,3135050,Jaíba,Sudeste,Janaúba
44,0.259,-43.891,-15.161,3135050,Jaíba,Sudeste,Janaúba
45,0.432,-43.884,-15.161,3135050,Jaíba,Sudeste,Janaúba
46,0.173,-43.887,-15.161,3135050,Jaíba,Sudeste,Janaúba
47,0.95,-43.892,-15.162,3135050,Jaíba,Sudeste,Janaúba
48,50.869,-43.786,-15.159,3135050,Jaíba,Sudeste,Janaúba
49,2.764,-43.857,-15.162,3135050,Jaíba,Sudeste,Janaúba
50,0.173,-43.88,-15.164,3135050,Jaíba,Sudeste,Janaúba
51,10.45,-43.881,-15.162,3135050,Jaíba,Sudeste,Janaúba
52,0.345,-43.88,-15.165,3135050,Jaíba,Sudeste,Janaúba
53,49.055,-43.896,-15.161,3135050,Jaíba,Sudeste,Janaúba
54,0.518,-43.86,-15.166,3135050,Jaíba,Sudeste,Janaúba
55,26.514,-43.836,-15.164,3135050,Jaíba,Sudeste,Janaúba
56,4.664,-43.899,-15.165,3135050,Jaíba,Sudeste,Janaúba
57,2.073,-43.858,-15.166,3135050,Jaíba,Sudeste,Janaúba
58,24.095,-43.885,-15.165,3135050,Jaíba,Sudeste,Janaúba
59,0.605,-43.86,-15.172,3135050,Jaíba,Sudeste,Janaúba
60,0.518,-43.861,-15.172,3135050,Jaíba,Sudeste,Janaúba
61,0.259,-43.921,-15.175,3135050,Jaíba,Sudeste,Janaúba
62,0.777,-43.9,-15.175,3135050,Jaíba,Sudeste,Janaúba
63,0.864,-43.918,-15.177,3135050,Jaíba,Sudeste,Janaúba
64,199.411,-43.914,-15.167,3135050,Jaíba,Sudeste,Janaúba
65,0.518,-43.912,-15.178,3135050,Jaíba,Sudeste,Janaúba
66,0.432,-43.818,-15.178,3135050,Jaíba,Sudeste,Janaúba
67,119.005,-43.906,-15.172,3135050,Jaíba,Sudeste,Janaúba
68,0.605,-43.924,-15.179,3135050,Jaíba,Sudeste,Janaúba
69,0.345,-43.924,-15.18,3135050,Jaíba,Sudeste,Janaúba
70,0.432,-43.923,-15.181,3135050,Jaíba,Sudeste,Janaúba
71,759.249,-43.858,-15.157,3135050,Jaíba,Sudeste,Janaúba
72,286.197,-43.795,-15.174,3135050,Jaíba,Sudeste,Janaúba
73,0.345,-43.925,-15.185,3135050,Jaíba,Sudeste,Janaúba
74,53.628,-43.927,-15.181,3135050,Jaíba,Sudeste,Janaúba
75,0.173,-43.833,-15.187,3135050,Jaíba,Sudeste,Janaúba
76,11.485,-43.835,-15.185,3135050,Jaíba,Sudeste,Janaúba
77,0.173,-43.831,-15.187,3135050,Jaíba,Sudeste,Janaúba
78,0.173,-43.884,-15.188,3135050,Jaíba,Sudeste,Janaúba
79,1.813,-43.832,-15.188,3135050,Jaíba,Sudeste,Janaúba
80,55.354,-43.806,-15.185,3135050,Jaíba,Sudeste,Janaúba
81,0.345,-43.906,-15.191,3135050,Jaíba,Sudeste,Janaúba
82,325.051,-43.902,-15.179,3135050,Jaíba,Sudeste,Janaúba
83,69.343,-43.896,-15.188,3135050,Jaíba,Sudeste,Janaúba
84,269.771,-43.822,-15.188,3135050,Jaíba,Sudeste,Janaúba
85,455.782,-43.88,-15.186,3135050,Jaíba,Sudeste,Janaúba
86,50.774,-43.834,-15.2,3135050,Jaíba,Sudeste,Janaúba
87,0.604,-43.937,-15.204,3135050,Jaíba,Sudeste,Janaúba
88,45.938,-43.868,-15.2,3135050,Jaíba,Sudeste,Janaúba
89,0.863,-42.892,-15.208,3142908,Monte Azul,Sudeste,Espinosa
90,331.164,-43.943,-15.191,3135050,Jaíba,Sudeste,Janaúba
91,265.351,-43.94,-15.201,3135050,Jaíba,Sudeste,Janaúba
92,118.12,-43.878,-15.211,3135050,Jaíba,Sudeste,Janaúba
93,34.538,-43.957,-15.214,3135050,Jaíba,Sudeste,Janaúba
94,168.629,-43.867,-15.214,3135050,Jaíba,Sudeste,Janaúba
95,213.874,-43.89,-15.214,3135050,Jaíba,Sudeste,Janaúba
96,107.322,-43.878,-15.222,3135050,Jaíba,Sudeste,Janaúba
97,44.118,-43.878,-15.232,3135050,Jaíba,Sudeste,Janaúba
98,0.173,-43.887,-15.25,3135050,Jaíba,Sudeste,Janaúba
99,660.506,-43.888,-15.25,3135050,Jaíba,Sudeste,Janaúba
100,682.377,-43.858,-15.268,3135050,Jaíba,Sudeste,Janaúba
101,0.604,-42.807,-15.332,3142908,Monte Azul,Sudeste,Espinosa
102,0.518,-42.797,-15.338,3142908,Monte Azul,Sudeste,Espinosa
103,0.518,-43.717,-15.394,3171030,Verdelândia,Sudeste,Janaúba
104,1.121,-44.01,-15.54,3170909,Varzelândia,Sudeste,Montes Claros
105,0.517,-43.614,-15.648,3171030,Verdelândia,Sudeste,Janaúba
106,0.517,-43.613,-15.65,3171030,Verdelândia,Sudeste,Janaúba
107,0.603,-43.261,-15.669,3152204,Porteirinha,Sudeste,Janaúba
108,0.689,-42.419,-15.744,3155603,Rio Pardo de Minas,Sudeste,Salinas
109,3.009,-43.445,-16.088,3126703,Francisco Sá,Sudeste,Montes Claros
110,1.118,-43.377,-16.103,3135100,Janaúba,Sudeste,Janaúba
111,0.774,-43.386,-16.124,3126703,Francisco Sá,Sudeste,Montes Claros
112,2.235,-44.158,-16.124,3147956,Patis,Sudeste,Montes Claros
113,0.516,-43.386,-16.125,3126703,Francisco Sá,Sudeste,Montes Claros
114,2.579,-44.154,-16.126,3147956,Patis,Sudeste,Montes Claros
115,0.774,-43.754,-16.179,3112703,Capitão Enéas,Sudeste,Montes Claros
116,0.515,-44.249,-16.315,3142007,Mirabela,Sudeste,Montes Claros
117,1.03,-44.208,-16.384,3142007,Mirabela,Sudeste,Montes Claros
118,1.336,-44.211,-16.39,3142007,Mirabela,Sudeste,Montes Claros
119,0.515,-43.995,-16.459,3118809,Coração de Jesus,Sudeste,Montes Claros
120,0.772,-43.995,-16.461,3118809,Coração de Jesus,Sudeste,Montes Claros
121,1.458,-46.719,-16.629,3170404,Unaí,Sudeste,Unaí
122,0.6,-46.632,-16.649,3170404,Unaí,Sudeste,Unaí
123,0.772,-46.246,-16.65,3122470,Dom Bosco,Sudeste,Unaí
124,0.6,-40.983,-16.717,3136009,Joaíma,Sudeste,Almenara
125,1.97,-46.202,-16.843,3122470,Dom Bosco,Sudeste,Unaí
126,105.236,-46.34,-16.866,3170404,Unaí,Sudeste,Unaí
127,93.817,-46.336,-16.868,3170404,Unaí,Sudeste,Unaí
128,198.733,-46.32,-16.89,3170404,Unaí,Sudeste,Unaí
129,209.062,-46.318,-16.906,3170404,Unaí,Sudeste,Unaí
130,16.403,-46.304,-16.914,3170404,Unaí,Sudeste,Unaí
131,49.427,-46.31,-16.913,3170404,Unaí,Sudeste,Unaí
132,109.636,-46.273,-16.91,3170404,Unaí,Sudeste,Unaí
133,52.866,-46.294,-16.916,3170404,Unaí,Sudeste,Unaí
134,0.685,-46.851,-16.921,3147006,Paracatu,Sudeste,Patos de Minas
