MUNICIPIO,TOTAL_AREA,COD_MUNICIPIO,MESO,MICRO
ARAPORÃ,13315.347009765625,3103751,Triângulo Mineiro e Alto Paranaíba,UBERLÂNDIA
TUPACIGUARA,17471.6179703125,3169604,Triângulo Mineiro e Alto Paranaíba,UBERLÂNDIA
PATOS DE MINAS,358.0178203125,3148004,Triângulo Mineiro e Alto Paranaíba,PATOS DE MINAS
CENTRALINA,5516.62357734375,3115805,Triângulo Mineiro e Alto Paranaíba,UBERLÂNDIA
MONTE ALEGRE DE MINAS,23702.28430625,3142809,Triângulo Mineiro e Alto Paranaíba,UBERLÂNDIA
CAPINÓPOLIS,17549.14422265625,3112604,Triângulo Mineiro e Alto Paranaíba,ITUIUTABA
CANÁPOLIS,19861.96423671875,3111804,Triângulo Mineiro e Alto Paranaíba,UBERLÂNDIA
IPIAÇU,7194.784884375,3131406,Triângulo Mineiro e Alto Paranaíba,ITUIUTABA
SANTA VITÓRIA,48858.034728125,3159803,Triângulo Mineiro e Alto Paranaíba,ITUIUTABA
ITUIUTABA,40411.279086328126,3134202,Triângulo Mineiro e Alto Paranaíba,ITUIUTABA
GURINHATÃ,15716.105561328124,3129103,Triângulo Mineiro e Alto Paranaíba,ITUIUTABA
UBERLÂNDIA,24538.232710546876,3170206,Triângulo Mineiro e Alto Paranaíba,UBERLÂNDIA
PRATA,20107.8953578125,3152808,Triângulo Mineiro e Alto Paranaíba,UBERLÂNDIA
PEDRINÓPOLIS,1007.351808984375,3149200,Triângulo Mineiro e Alto Paranaíba,ARAXÁ
UBERABA,126849.73655625,3170107,Triângulo Mineiro e Alto Paranaíba,UBERABA
SANTA JULIANA,13634.663362109375,3157708,Triângulo Mineiro e Alto Paranaíba,ARAXÁ
LIMEIRA DO OESTE,42103.2314125,3138625,Triângulo Mineiro e Alto Paranaíba,FRUTAL
UNIÃO DE MINAS,17778.9985125,3170438,Triângulo Mineiro e Alto Paranaíba,FRUTAL
NOVA PONTE,10221.90840546875,3145000,Triângulo Mineiro e Alto Paranaíba,ARAXÁ
PERDIZES,22529.755184375,3149804,Triângulo Mineiro e Alto Paranaíba,ARAXÁ
VERÍSSIMO,29870.15534921875,3171105,Triângulo Mineiro e Alto Paranaíba,UBERABA
SACRAMENTO,22610.058808203124,3156908,Triângulo Mineiro e Alto Paranaíba,ARAXÁ
CARNEIRINHO,22621.771425,3114550,Triângulo Mineiro e Alto Paranaíba,FRUTAL
CAMPO FLORIDO,50251.38500429688,3111408,Triângulo Mineiro e Alto Paranaíba,UBERABA
ARAXÁ,2370.56915625,3104007,Triângulo Mineiro e Alto Paranaíba,ARAXÁ
ITURAMA,46112.77622421875,3134400,Triângulo Mineiro e Alto Paranaíba,FRUTAL
CAMPINA VERDE,11734.434908203126,3111101,Triângulo Mineiro e Alto Paranaíba,FRUTAL
COMENDADOR GOMES,12467.396377734374,3116902,Triângulo Mineiro e Alto Paranaíba,FRUTAL
SÃO FRANCISCO DE SALES,21154.2867796875,3161304,Triângulo Mineiro e Alto Paranaíba,FRUTAL
ITAPAGIPE,30196.3923515625,3133402,Triângulo Mineiro e Alto Paranaíba,FRUTAL
CONQUISTA,21991.636034375,3118205,Triângulo Mineiro e Alto Paranaíba,UBERABA
CONCEIÇÃO DAS ALAGOAS,66420.73745976563,3117306,Triângulo Mineiro e Alto Paranaíba,UBERABA
FRUTAL,97828.1135640625,3127107,Triângulo Mineiro e Alto Paranaíba,FRUTAL
ÁGUA COMPRIDA,22487.373737500002,3100708,Triângulo Mineiro e Alto Paranaíba,UBERABA
PIRAJUBA,17778.208068359374,3150703,Triângulo Mineiro e Alto Paranaíba,FRUTAL
DELTA,5210.7509609375,3121258,Triângulo Mineiro e Alto Paranaíba,UBERABA
PLANURA,13319.668912109375,3151602,Triângulo Mineiro e Alto Paranaíba,FRUTAL
FRONTEIRA,3773.89641640625,3127008,Triângulo Mineiro e Alto Paranaíba,FRUTAL
MONTALVÂNIA,0.8777859375,3142700,Norte,JANUÁRIA
MATIAS CARDOSO,552.022273046875,3140852,Norte,JANUÁRIA
BONITO DE MINAS,2.098869140625,3108255,Norte,JANUÁRIA
JAÍBA,7888.700446484375,3135050,Norte,JANAÚBA
MONTE AZUL,2.02055390625,3142908,Norte,JANAÚBA
VERDELÂNDIA,1.57528671875,3171030,Norte,MONTES CLAROS
VARZELÂNDIA,1.13666796875,3170909,Norte,MONTES CLAROS
PORTEIRINHA,0.612998046875,3152204,Norte,JANAÚBA
RIO PARDO DE MINAS,0.70214609375,3155603,Norte,SALINAS
FRANCISCO SÁ,4.27965,3126703,Norte,MONTES CLAROS
