MUNICIPIO,TOTAL_AREA,COD_MUNICIPIO,MESO,MICRO
JOÃO PINHEIRO,15492.199,3136306.0,Noroeste,PARACATU
PRESIDENTE OLEGÁRIO,1886.9769999999999,3153400.0,Noroeste,PARACATU
SÃO GONÇALO DO ABAETÉ,17.096,3161700.0,Noroeste,PARACATU
ARAPORÃ,11237.676,3103751.0,Triângulo Mineiro e Alto Paranaíba,UBERLÂNDIA
VARJÃO DE MINAS,1116.74,3170750.0,Noroeste,PARACATU
TUPACIGUARA,12126.198,3169604.0,Triângulo Mineiro e Alto Paranaíba,UBERLÂNDIA
PATOS DE MINAS,254.412,3148004.0,Triângulo Mineiro e Alto Paranaíba,PATOS DE MINAS
CENTRALINA,3814.658,3115805.0,Triângulo Mineiro e Alto Paranaíba,UBERLÂNDIA
MONTE ALEGRE DE MINAS,20276.489,3142809.0,Triângulo Mineiro e Alto Paranaíba,UBERLÂNDIA
CANÁPOLIS,11119.056,3111804.0,Triângulo Mineiro e Alto Paranaíba,UBERLÂNDIA
IPIAÇU,3571.714,3131406.0,Triângulo Mineiro e Alto Paranaíba,ITUIUTABA
CAPINÓPOLIS,6205.508,3112604.0,Triângulo Mineiro e Alto Paranaíba,ITUIUTABA
SANTA VITÓRIA,33614.95,3159803.0,Triângulo Mineiro e Alto Paranaíba,ITUIUTABA
ITUIUTABA,24433.874,3134202.0,Triângulo Mineiro e Alto RParanaíba,ITUIUTABA
UBERLÂNDIA,18729.694,3170206.0,Triângulo Mineiro e Alto Paranaíba,UBERLÂNDIA
GURINHATÃ,11490.07,3129103.0,Triângulo Mineiro e Alto Paranaíba,ITUIUTABA
POMPÉU,8541.159,3152006.0,Central Mineira,TRÊS MARIAS
UBERABA,95105.784,3170107.0,Triângulo Mineiro e Alto Paranaíba,UBERABA
ABAETÉ,9.303,3100203.0,Central Mineira,TRÊS MARIAS
PEDRINÓPOLIS,502.403,3149200.0,Triângulo Mineiro e Alto Paranaíba,ARAXÁ
NOVA PONTE,8893.856,3145000.0,Triângulo Mineiro e Alto Paranaíba,ARAXÁ
PRATA,11825.612,3152808.0,Triângulo Mineiro e Alto Paranaíba,UBERLÂNDIA
SANTA JULIANA,7530.227,3157708.0,Triângulo Mineiro e Alto Paranaíba,ARAXÁ
LIMEIRA DO OESTE,34668.034,3138625.0,Triângulo Mineiro e Alto Paranaíba,FRUTAL
PERDIZES,15636.843,3149804.0,Triângulo Mineiro e Alto Paranaíba,ARAXÁ
