MUNICIPIO,TOTAL_AREA,COD_MUNICIPIO,MESO,MICRO
Montalvânia,0.953,3142700,Sudeste,Januária
Matias Cardoso,296.02,3140852,Sudeste,Janaúba
Bonito de Minas,2.075,3108255,Sudeste,Januária
Jaíba,8013.025,3135050,Sudeste,Janaúba
Monte Azul,1.9849999999999999,3142908,Sudeste,Espinosa
Verdelândia,1.552,3171030,Sudeste,Janaúba
Varzelândia,1.121,3170909,Sudeste,Montes Claros
Porteirinha,0.603,3152204,Sudeste,Janaúba
Rio Pardo de Minas,0.689,3155603,Sudeste,Salinas
Francisco Sá,4.2989999999999995,3126703,Sudeste,Montes Claros
Janaúba,1.118,3135100,Sudeste,Janaúba
Patis,4.814,3147956,Sudeste,Montes Claros
Capitão Enéas,0.774,3112703,Sudeste,Montes Claros
Mirabela,2.8810000000000002,3142007,Sudeste,Montes Claros
Coração de Jesus,1.287,3118809,Sudeste,Montes Claros
Unaí,6246.888,3170404,Sudeste,Unaí
Dom Bosco,2.742,3122470,Sudeste,Unaí
Joaíma,0.6,3136009,Sudeste,Almenara
Paracatu,9745.667,3147006,Sudeste,Patos de Minas
Claro dos Poções,1.369,3116506,Sudeste,Montes Claros
Brasilândia de Minas,1471.689,3108552,Sudeste,Patos de Minas
João Pinheiro,19943.164,3136306,Sudeste,Patos de Minas
Várzea da Palma,0.768,3170800,Sudeste,Pirapora
Serra dos Aimorés,70.151,3166709,Sudeste,Teófilo Otoni
Nanuque,11.322,3144300,Sudeste,Teófilo Otoni
Lassance,4.002,3138104,Sudeste,Pirapora
Presidente Olegário,1514.494,3153400,Sudeste,Patos de Minas
São Gonçalo do Abaeté,124.21000000000001,3161700,Sudeste,Patos de Minas
Corinto,5.351,3119104,Sudeste,Curvelo
Augusto de Lima,0.765,3104809,Sudeste,Curvelo
Diamantina,2.21,3121605,Sudeste,Diamantina
Araguari,28.938,3103504,Sudeste,Uberlândia
Araporã,10103.402,3103751,Sudeste,Uberlândia
Tupaciguara,11298.381,3169604,Sudeste,Uberlândia
Varjão de Minas,1210.916,3170750,Sudeste,Patos de Minas
Três Marias,0.594,3169356,Sudeste,Curvelo
Patos de Minas,271.786,3148004,Sudeste,Patos de Minas
Centralina,2865.9519999999998,3115805,Sudeste,Uberlândia
Monte Alegre de Minas,15103.002,3142809,Sudeste,Uberlândia
Cachoeira Dourada,12.387,3109808,Sudeste,Ituiutaba
Morro da Garça,21.195999999999998,3143609,Sudeste,Curvelo
Capinópolis,4237.638,3112604,Sudeste,Ituiutaba
Cascalho Rico,2.545,3115003,Sudeste,Uberlândia
Felixlândia,3.053,3125705,Sudeste,Curvelo
Canápolis,10862.609,3111804,Sudeste,Uberlândia
Estrela do Sul,7.801,3124807,Sudeste,Monte Carmelo
Ipiaçu,3491.45,3131406,Sudeste,Ituiutaba
Santa Vitória,28577.589,3159803,Sudeste,Ituiutaba
Morada Nova de Minas,2.79,3143500,Sudeste,Abaeté
Biquinhas,1.279,3107000,Sudeste,Abaeté
Uberlândia,16600.752,3170206,Sudeste,Uberlândia
Ituiutaba,21898.376,3134202,Sudeste,Ituiutaba
Gurinhatã,10256.948,3129103,Sudeste,Ituiutaba
Curvelo,3.386,3120904,Sudeste,Curvelo
Paineiras,3.134,3146404,Sudeste,Abaeté
Indianópolis,11.516000000000002,3130705,Sudeste,Uberlândia
Pompéu,8261.554,3152006,Sudeste,Dores do Indaiá
Cordisburgo,1.775,3118908,Sudeste,Sete Lagoas
Prata,11217.891,3152808,Sudeste,Uberlândia
Abaeté,22.581,3100203,Sudeste,Abaeté
Cedro do Abaeté,0.592,3115607,Sudeste,Abaeté
Uberaba,96241.385,3170107,Sudeste,Uberaba
Nova Ponte,8646.259,3145000,Sudeste,Uberaba
Pedrinópolis,516.102,3149200,Sudeste,Araxá
Paraopeba,1.183,3147402,Sudeste,Sete Lagoas
Santa Juliana,7632.073,3157708,Sudeste,Uberaba
Campina Verde,7643.175,3111101,Sudeste,Uberlândia
Limeira do Oeste,33683.379,3138625,Sudeste,Iturama
União de Minas,13015.016,3170438,Sudeste,Iturama
Quartel Geral,0.592,3153707,Sudeste,Dores do Indaiá
Perdizes,14506.579,3149804,Sudeste,Araxá
Serra do Salitre,0.676,3166808,Sudeste,Patrocínio
Martinho Campos,7.01,3140506,Sudeste,Dores do Indaiá
São Gotardo,1.014,3162104,Sudeste,Patos de Minas
Veríssimo,23373.428,3171105,Sudeste,Uberaba
Dores do Indaiá,1.097,3123205,Sudeste,Dores do Indaiá
Sacramento,17411.805,3156908,Sudeste,Uberaba
Papagaios,3.461,3146909,Sudeste,Pará de Minas
Inhaúma,0.844,3131000,Sudeste,Sete Lagoas
Carneirinho,19072.208,3114550,Sudeste,Iturama
Bom Despacho,1212.779,3107406,Sudeste,Dores do Indaiá
Itapagipe,23847.061,3133402,Sudeste,Frutal
Ibiá,7.847,3129509,Sudeste,Araxá
Comendador Gomes,9900.696,3116902,Sudeste,Frutal
Estrela do Indaiá,570.1800000000001,3124708,Sudeste,Dores do Indaiá
Campo Florido,40392.881,3111408,Sudeste,Uberaba
Araxá,1705.196,3104007,Sudeste,Araxá
Pitangui,14.171999999999999,3151404,Sudeste,Divinópolis
Iturama,37827.793,3134400,Sudeste,Iturama
Maravilhas,5.989,3139706,Sudeste,Pará de Minas
Leandro Ferreira,9.19,3138302,Sudeste,Divinópolis
São Francisco de Sales,15681.026,3161304,Sudeste,Iturama
Pratinha,9.606,3153004,Sudeste,Araxá
Conquista,14739.28,3118205,Sudeste,Uberaba
Luz,6547.387,3138807,Sudeste,Dores do Indaiá
Conceição das Alagoas,49407.729,3117306,Sudeste,Uberaba
Frutal,73601.509,3127107,Sudeste,Frutal
Moema,321.673,3142403,Sudeste,Dores do Indaiá
Tapira,59.242,3168101,Sudeste,Araxá
Água Comprida,17564.573,3100708,Sudeste,Uberaba
Araújos,12.462,3103900,Sudeste,Divinópolis
Lagoa da Prata,4751.731,3137205,Sudeste,Divinópolis
Córrego Danta,1.768,3119807,Sudeste,Formiga
Pirajuba,14615.953,3150703,Sudeste,Frutal
Santo Antônio do Monte,45.043,3160405,Sudeste,Divinópolis
Delta,3919.135,3121258,Sudeste,Uberaba
Bambuí,5592.472,3105103,Sudeste,Formiga
São Pedro dos Ferros,100.566,3164001,Sudeste,Ponte Nova
Medeiros,263.275,3141306,Sudeste,Formiga
Iguatama,2086.162,3130309,Sudeste,Formiga
São José do Goiabal,31.891,3163409,Sudeste,Ipatinga
Planura,10592.897,3151602,Sudeste,Frutal
Rio Casca,15.224,3154903,Sudeste,Ponte Nova
São Roque de Minas,17.909,3164308,Sudeste,Piumhi
Japaraíba,1666.017,3135308,Sudeste,Divinópolis
Sem-Peixe,13.708,3165560,Sudeste,Ponte Nova
Arcos,635.145,3104205,Sudeste,Formiga
Fronteira,3183.588,3127008,Sudeste,Frutal
Doresópolis,46.674,3123403,Sudeste,Piumhi
Delfinópolis,1946.702,3121209,Sudeste,Passos
Piedade de Ponte Nova,0.504,3150208,Sudeste,Ponte Nova
Urucânia,3.7800000000000002,3170503,Sudeste,Ponte Nova
Claraval,6.8020000000000005,3116407,Sudeste,Passos
Santo Antônio do Grama,4.4510000000000005,3160108,Sudeste,Ponte Nova
Santa Cruz do Escalvado,0.588,3157401,Sudeste,Ponte Nova
Ibiraci,14.94,3129707,Sudeste,Passos
Piumhi,2.518,3151503,Sudeste,Piumhi
Ponte Nova,3.358,3152105,Sudeste,Ponte Nova
Pains,8.48,3146503,Sudeste,Formiga
Córrego Fundo,10.982,3119955,Sudeste,Formiga
Pimenta,9.144,3150505,Sudeste,Formiga
Cássia,19.516,3115102,Sudeste,Passos
Itapecerica,6.207,3133501,Sudeste,Divinópolis
Passos,4992.726,3147907,Sudeste,Passos
Formiga,0.755,3126109,Sudeste,Formiga
Capetinga,38.539,3112406,Sudeste,Passos
São João Batista do Glória,260.892,3162203,Sudeste,Passos
Passa Tempo,0.251,3147709,Sudeste,Oliveira
Itaú de Minas,11.169,3133758,Sudeste,Passos
Alpinópolis,215.512,3101904,Sudeste,Passos
Pratápolis,12.139,3152907,Sudeste,Passos
São Tomás de Aquino,1864.5529999999999,3165107,Sudeste,São Sebastião do Paraíso
São José da Barra,79.899,3162948,Sudeste,Passos
Candeias,4.019,3112000,Sudeste,Campo Belo
Cristais,120.869,3120201,Sudeste,Campo Belo
Fortaleza de Minas,8.281,3126307,Sudeste,Passos
São Sebastião do Paraíso,2566.758,3164704,Sudeste,São Sebastião do Paraíso
Oliveira,1.506,3145604,Sudeste,Oliveira
Campo Belo,0.92,3111200,Sudeste,Campo Belo
Carmo do Rio Claro,472.24600000000004,3114402,Sudeste,Passos
Itamogi,303.53999999999996,3132909,Sudeste,São Sebastião do Paraíso
Jacuí,14.208,3134806,Sudeste,São Sebastião do Paraíso
Cana Verde,2.507,3111903,Sudeste,Lavras
Perdões,1.003,3149903,Sudeste,Lavras
Monte Santo de Minas,1480.386,3143203,Sudeste,São Sebastião do Paraíso
São Pedro da União,9.939,3163904,Sudeste,Guaxupé
Campo do Meio,0.167,3111309,Sudeste,Alfenas
Guaranésia,1303.064,3128303,Sudeste,Guaxupé
Guaxupé,369.249,3128709,Sudeste,Guaxupé
Alterosa,210.439,3102001,Sudeste,Alfenas
Alfenas,2175.138,3101607,Sudeste,Alfenas
Coqueiral,1.252,3118700,Sudeste,Três Pontas - Boa Esperança
Juruaia,41.736,3136900,Sudeste,Guaxupé
Monte Belo,1776.51,3143005,Sudeste,Guaxupé
Areado,1261.825,3104304,Sudeste,Alfenas
Arceburgo,586.039,3104106,Sudeste,Guaxupé
Cabo Verde,146.201,3109501,Sudeste,Guaxupé
Divisa Nova,406.63,3122405,Sudeste,Alfenas
Serrania,409.808,3166907,Sudeste,Alfenas
Machado,278.401,3139003,Sudeste,Alfenas
Campestre,0.749,3111002,Sudeste,Poços de Caldas
Santa Rita de Caldas,1.494,3159209,Sudeste,Poços de Caldas
Santa Rita do Sapucaí,1.907,3159605,Sudeste,Pouso Alegre
Ouro Fino,62.828,3146008,Sudeste,Pouso Alegre
Jacutinga,94.382,3134905,Sudeste,Pouso Alegre
Piranguinho,1.492,3151008,Sudeste,Itajubá
Inconfidentes,2.402,3130606,Sudeste,Pouso Alegre
Monte Sião,8.280000000000001,3143401,Sudeste,Pouso Alegre
Bueno Brandão,1.904,3109105,Sudeste,Pouso Alegre
Estiva,0.745,3124500,Sudeste,Pouso Alegre
Conceição dos Ouros,10.924999999999999,3117801,Sudeste,Pouso Alegre
Bom Repouso,0.248,3107901,Sudeste,Pouso Alegre
Paraisópolis,10.344,3147303,Sudeste,Itajubá
Cambuí,4.301,3110608,Sudeste,Pouso Alegre
Senador Amaral,0.91,3165578,Sudeste,Pouso Alegre
Munhoz,0.579,3143807,Sudeste,Pouso Alegre
Camanducaia,1.321,3110509,Sudeste,Pouso Alegre
