INDEX, AREA       , X          , Y          , COD_MUNICIPIO, MUNICIPIO               , MESO                              , MICRO
   14, 12838841.16, 6094719.995, 8309308.942,       3140852, Matias Cardoso          , Norte                             , JANUÁRIA
   14, 12838841.16, 6079007.663, 8293295.659,       3135050, Jaíba                   , Norte                             , JANAÚBA
   14, 12838841.16, 6079644.441, 8292316.596,       3135050, Jaíba                   , Norte                             , JANAÚBA
   16,  6241148.83, 5810639.435, 8108455.962,       3147006, Paracatu                , Noroeste                          , PARACATU
   16,  6241148.83, 5823836.375, 8105195.788,       3147006, Paracatu                , Noroeste                          , PARACATU
   16,  6241148.83, 5834136.933, 8099443.227,       3136306, João Pinheiro           , Noroeste                          , PARACATU
   16,  6241148.83, 5834463.409, 8099157.646,       3136306, João Pinheiro           , Noroeste                          , PARACATU
   16,  6241148.83, 5813317.927, 8097068.171,       3147006, Paracatu                , Noroeste                          , PARACATU
   16,  6241148.83, 5812874.189, 8096076.644,       3147006, Paracatu                , Noroeste                          , PARACATU
   16,  6241148.83, 5829313.147, 8094548.475,       3136306, João Pinheiro           , Noroeste                          , PARACATU
   16,  6241148.83, 5840850.09 , 8093815.721,       3108552, Brasilândia de Minas    , Noroeste                          , PARACATU
   16,  6241148.83, 5840313.741, 8093199.006,       3108552, Brasilândia de Minas    , Noroeste                          , PARACATU
   16,  6241148.83, 5781770.585, 8094207.343,       3147006, Paracatu                , Noroeste                          , PARACATU
   16,  6241148.83, 5825517.184, 8084170.669,       3136306, João Pinheiro           , Noroeste                          , PARACATU
   16,  6241148.83, 5826462.514, 8081253.272,       3136306, João Pinheiro           , Noroeste                          , PARACATU
   16,  6241148.83, 5874224.946, 8016321.259,       3136306, João Pinheiro           , Noroeste                          , PARACATU
   16,  6241148.83, 5833856.66 , 8012501.886,       3136306, João Pinheiro           , Noroeste                          , PARACATU
    4,  9054090.08, 5522894.704, 7946936.749,       3103751, Araporã                 , Triângulo Mineiro e Alto Paranaíba, UBERLÂNDIA
    4,  9054090.08, 5524681.754, 7940606.66 ,       3142809, Monte Alegre de Minas   , Triângulo Mineiro e Alto Paranaíba, UBERLÂNDIA
    4,  9054090.08, 5524822.781, 7939846.46 ,       3142809, Monte Alegre de Minas   , Triângulo Mineiro e Alto Paranaíba, UBERLÂNDIA
    4,  9054090.08, 5524564.588, 7939573.745,       3142809, Monte Alegre de Minas   , Triângulo Mineiro e Alto Paranaíba, UBERLÂNDIA
    4,  9054090.08, 5544241.859, 7930034.727,       3142809, Monte Alegre de Minas   , Triângulo Mineiro e Alto Paranaíba, UBERLÂNDIA
    4,  9054090.08, 5539252.141, 7929638.634,       3142809, Monte Alegre de Minas   , Triângulo Mineiro e Alto Paranaíba, UBERLÂNDIA
    4,  9054090.08, 5463049.183, 7929490.181,       3112604, Capinópolis             , Triângulo Mineiro e Alto Paranaíba, ITUIUTABA
    4,  9054090.08, 5489309.404, 7925999.626,       3111804, Canápolis               , Triângulo Mineiro e Alto Paranaíba, UBERLÂNDIA
    4,  9054090.08, 5489170.668, 7925584.231,       3111804, Canápolis               , Triângulo Mineiro e Alto Paranaíba, UBERLÂNDIA
    4,  9054090.08, 5552550.772, 7922320.733,       3169604, Tupaciguara             , Triângulo Mineiro e Alto Paranaíba, UBERLÂNDIA
    4,  9054090.08, 5558890.547, 7919262.119,       3169604, Tupaciguara             , Triângulo Mineiro e Alto Paranaíba, UBERLÂNDIA
    4,  9054090.08, 5411579.283, 7922152.821,       3159803, Santa Vitória           , Triângulo Mineiro e Alto Paranaíba, ITUIUTABA
    4,  9054090.08, 5412000.569, 7921874.78 ,       3159803, Santa Vitória           , Triângulo Mineiro e Alto Paranaíba, ITUIUTABA
    4,  9054090.08, 5395858.669, 7920448.528,       3159803, Santa Vitória           , Triângulo Mineiro e Alto Paranaíba, ITUIUTABA
    4,  9054090.08, 5394717.294, 7919606.261,       3159803, Santa Vitória           , Triângulo Mineiro e Alto Paranaíba, ITUIUTABA
    4,  9054090.08, 5421682.398, 7918572.938,       3159803, Santa Vitória           , Triângulo Mineiro e Alto Paranaíba, ITUIUTABA
    4,  9054090.08, 5423102.105, 7917673.147,       3159803, Santa Vitória           , Triângulo Mineiro e Alto Paranaíba, ITUIUTABA
    4,  9054090.08, 5499264.524, 7911484.315,       3111804, Canápolis               , Triângulo Mineiro e Alto Paranaíba, UBERLÂNDIA
    4,  9054090.08, 5424931.113, 7913018.426,       3129103, Gurinhatã               , Triângulo Mineiro e Alto Paranaíba, ITUIUTABA
    4,  9054090.08, 5424361.956, 7912708.681,       3129103, Gurinhatã               , Triângulo Mineiro e Alto Paranaíba, ITUIUTABA
    4,  9054090.08, 5424560.81 , 7911946.654,       3129103, Gurinhatã               , Triângulo Mineiro e Alto Paranaíba, ITUIUTABA
    4,  9054090.08, 5494645.251, 7910216.574,       3111804, Canápolis               , Triângulo Mineiro e Alto Paranaíba, UBERLÂNDIA
    4,  9054090.08, 5569458.062, 7906189.766,       3170206, Uberlândia              , Triângulo Mineiro e Alto Paranaíba, UBERLÂNDIA
    4,  9054090.08, 5569283.706, 7906089.806,       3142809, Monte Alegre de Minas   , Triângulo Mineiro e Alto Paranaíba, UBERLÂNDIA
    4,  9054090.08, 5461032.653, 7908212.785,       3134202, Ituiutaba               , Triângulo Mineiro e Alto Paranaíba, ITUIUTABA
    4,  9054090.08, 5476422.459, 7905083.979,       3134202, Ituiutaba               , Triângulo Mineiro e Alto Paranaíba, ITUIUTABA
    4,  9054090.08, 5405984.03 , 7906184.537,       3159803, Santa Vitória           , Triângulo Mineiro e Alto Paranaíba, ITUIUTABA
    4,  9054090.08, 5402603.926, 7905107.936,       3159803, Santa Vitória           , Triângulo Mineiro e Alto Paranaíba, ITUIUTABA
    4,  9054090.08, 5500836.935, 7902438.619,       3142809, Monte Alegre de Minas   , Triângulo Mineiro e Alto Paranaíba, UBERLÂNDIA
    4,  9054090.08, 5476014.795, 7902952.964,       3134202, Ituiutaba               , Triângulo Mineiro e Alto Paranaíba, ITUIUTABA
    4,  9054090.08, 5475152.878, 7903735.456,       3134202, Ituiutaba               , Triângulo Mineiro e Alto Paranaíba, ITUIUTABA
    4,  9054090.08, 5401335.531, 7904100.694,       3159803, Santa Vitória           , Triângulo Mineiro e Alto Paranaíba, ITUIUTABA
    4,  9054090.08, 5501093.565, 7901924.077,       3142809, Monte Alegre de Minas   , Triângulo Mineiro e Alto Paranaíba, UBERLÂNDIA
    4,  9054090.08, 5474963.176, 7901835.984,       3134202, Ituiutaba               , Triângulo Mineiro e Alto Paranaíba, ITUIUTABA
    4,  9054090.08, 5386750.096, 7899534.626,       3159803, Santa Vitória           , Triângulo Mineiro e Alto Paranaíba, ITUIUTABA
    4,  9054090.08, 5385875.383, 7899113.885,       3159803, Santa Vitória           , Triângulo Mineiro e Alto Paranaíba, ITUIUTABA
    4,  9054090.08, 5385693.88 , 7898871.322,       3159803, Santa Vitória           , Triângulo Mineiro e Alto Paranaíba, ITUIUTABA
    4,  9054090.08, 5387412.601, 7898931.06 ,       3159803, Santa Vitória           , Triângulo Mineiro e Alto Paranaíba, ITUIUTABA
    4,  9054090.08, 5454163.558, 7896819.031,       3134202, Ituiutaba               , Triângulo Mineiro e Alto Paranaíba, ITUIUTABA
