MUNICIPIO,TOTAL_AREA,COD_MUNICIPIO,MESO,MICRO
Matias Cardoso,12838841.16,3140852,Norte,JANUÁRIA
Jaíba,25677682.32,3135050,Norte,JANAÚBA
Paracatu,31205744.15,3147006,Noroeste,PARACATU
João Pinheiro,43688041.81,3136306,Noroeste,PARACATU
Brasilândia de Minas,12482297.66,3108552,Noroeste,PARACATU
Araporã,9054090.08,3103751,Triângulo Mineiro e Alto Paranaíba,UBERLÂNDIA
Monte Alegre de Minas,72432720.64,3142809,Triângulo Mineiro e Alto Paranaíba,UBERLÂNDIA
Capinópolis,9054090.08,3112604,Triângulo Mineiro e Alto Paranaíba,ITUIUTABA
Canápolis,36216360.32,3111804,Triângulo Mineiro e Alto Paranaíba,UBERLÂNDIA
Tupaciguara,18108180.16,3169604,Triângulo Mineiro e Alto Paranaíba,UBERLÂNDIA
Santa Vitória,153919531.36,3159803,Triângulo Mineiro e Alto Paranaíba,ITUIUTABA
Gurinhatã,63378630.56,3129103,Triângulo Mineiro e Alto Paranaíba,ITUIUTABA
Uberlândia,9054090.08,3170206,Triângulo Mineiro e Alto Paranaíba,UBERLÂNDIA
Ituiutaba,81486810.72,3134202,Triângulo Mineiro e Alto Paranaíba,ITUIUTABA
Pompéu,12698520.8,3152006,Central Mineira,TRÊS MARIAS
Uberaba,226352252.0,3170107,Triângulo Mineiro e Alto Paranaíba,UBERABA
Limeira do Oeste,217298161.92000002,3138625,Triângulo Mineiro e Alto Paranaíba,FRUTAL
União de Minas,162973621.44,3170438,Triângulo Mineiro e Alto Paranaíba,FRUTAL
Santa Juliana,18108180.16,3157708,Triângulo Mineiro e Alto Paranaíba,ARAXÁ
Perdizes,54324540.480000004,3149804,Triângulo Mineiro e Alto Paranaíba,ARAXÁ
Veríssimo,45270450.4,3171105,Triângulo Mineiro e Alto Paranaíba,UBERABA
Campina Verde,18108180.16,3111101,Triângulo Mineiro e Alto Paranaíba,FRUTAL
Campo Florido,162973621.44,3111408,Triângulo Mineiro e Alto Paranaíba,UBERABA
Iturama,190135891.68,3134400,Triângulo Mineiro e Alto Paranaíba,FRUTAL
Sacramento,36216360.32,3156908,Triângulo Mineiro e Alto Paranaíba,ARAXÁ
Carneirinho,135811351.2,3114550,Triângulo Mineiro e Alto Paranaíba,FRUTAL
Itapagipe,63378630.56,3133402,Triângulo Mineiro e Alto Paranaíba,FRUTAL
São Francisco de Sales,99594990.88,3161304,Triângulo Mineiro e Alto Paranaíba,FRUTAL
Luz,38095562.400000006,3138807,Central Mineira,BOM DESPACHO
Bom Despacho,3174630.2,3107406,Central Mineira,BOM DESPACHO
Comendador Gomes,18108180.16,3116902,Triângulo Mineiro e Alto Paranaíba,FRUTAL
Frutal,253514522.24,3127107,Triângulo Mineiro e Alto Paranaíba,FRUTAL
Pirajuba,18108180.16,3150703,Triângulo Mineiro e Alto Paranaíba,FRUTAL
Água Comprida,81486810.72,3100708,Triângulo Mineiro e Alto Paranaíba,UBERABA
Conceição das Alagoas,27162270.240000002,3117306,Triângulo Mineiro e Alto Paranaíba,UBERABA
Delta,27162270.240000002,3121258,Triângulo Mineiro e Alto Paranaíba,UBERABA
Conquista,36216360.32,3118205,Triângulo Mineiro e Alto Paranaíba,UBERABA
Lagoa da Prata,38095562.400000006,3137205,Central Mineira,BOM DESPACHO
Iguatama,2403787.33,3130309,Oeste,PIUÍ
Bambuí,4807574.66,3105103,Oeste,PIUÍ
Japaraíba,15873151.0,3135308,Central Mineira,BOM DESPACHO
Fronteira,9054090.08,3127008,Triângulo Mineiro e Alto Paranaíba,FRUTAL
Delfinópolis,4957537.89,3121209,Sul/Sudoeste,PASSOS
Passos,14872613.669999998,3147907,Sul/Sudoeste,PASSOS
São Sebastião do Paraíso,4957537.89,3164704,Sul/Sudoeste,SÃO SEBASTIÃO DO PARAÍSO
Monte Belo,4957537.89,3143005,Sul/Sudoeste,SÃO SEBASTIÃO DO PARAÍSO
Serrania,4957537.89,3166907,Sul/Sudoeste,ALFENAS
